title,release_date,norm_text,poster_path
1Up,2022-07-15,valerie lee quit college esport team quickly realize decision come cost scholarship valerie soon discover loophole save collegiate future find coach assemble new varsity caliber team capable reach state finals gamer esport Comedy,/kqhLjoz3FGywYXUNTCPItfDY2N8.jpg
2 Guns,2013-08-02,dea agent undercover naval intelligence officer task investigate find set mob organization man believe steal money undercover undercover agent base comic money fugitive bank robbery dea agent Action Comedy Crime,/ptURGAFktibhk7DEAbMazlmNqWa.jpg
2-Headed Shark Attack,2012-06-26,semester sea ship attack sink mutate head shark survivor seek refuge deserted atoll coed long safe atoll start flooding monster animal attack shark Horror Action Thriller,/tyKDKlex5RqBjx3OatVpTAfeAkD.jpg
"20,000 Leagues Under the Sea",1954-12-23,ship send investigate wave mysterious sinking encounter advanced submarine nautilus command captain nemo diving ocean submarine jules verne captain atlantis deep sea war ship diving suit harpoon ship steampunk scuba diving underwater scuba technicolor captain nemo giant   squid Adventure Drama Family,/heAEH85fdxEgV98LizHbQCL95iZ.jpg
200 Cigarettes,1999-02-26,new york city 1981 twentysomething converge new year eve party new year eve relationship manhattan new york city woman director Comedy Drama Romance,/ssbx2Mk5ZCJWpXALuP2AdG0GFIT.jpg
2001: A Space Odyssey,1968-04-02,humanity find mysterious object bury beneath lunar surface set find origin help hal 9000 world advanced super computer moon jupiter artificial intelligence man vs machine base novel book technology super computer space travel space mission moon base astronaut cult film evolution monolith space station space opera 2000s Science Fiction Mystery Adventure,/ve72VxNqjGM69Uky4WTo2bK6rfq.jpg
2010,1984-12-06,planet earth poise brink nuclear self destruction team russian american scientist aboard leonov hurtle rendezvous orbit discovery spacecraft sole know survivor homicidal computer hal jupiter super computer space travel space mission ghost ship sequel space astronaut monolith space opera near future Thriller Science Fiction,/mEWKXuCMv7mFMxXVSTI3v8UOQuq.jpg
2012,2009-10-10,dr. adrian helmsley worldwide geophysical team investigate effect earth radiation unprecedented solar storm learn earth core heat warn u.s. president thomas wilson crust earth unstable proper preparation save fraction world population entire race doom writer jackson curtis stumble information world leader race build ark escape impending cataclysm curtis struggle find way save family volcanic eruption earthquake unprecedented strength wreak havoc world civilization earthquake race time natural disaster maya civilization end world disaster apocalypse destruction volcanic eruption flood disaster movie ark solar 2010s Action Adventure Science Fiction,/zaqam2RNscH5ooYFWInV6hjx6y5.jpg
2036 Origin Unknown,2018-06-08,man mission mars end deadly crash mission controller mackenzie mack wilson assist artificial intelligence system a.r.t.i. investigation uncover mysterious object surface mars change future planet know artificial intelligence planet mar investigation crash mysterious object Science Fiction,/v3StJTYXbU3OZ26Vh1PbczqfyCD.jpg
21,2008-03-27,ben campbell young highly intelligent student m.i.t. boston strive succeed want scholarship transfer harvard school medicine desire doctor ben learn afford $ 300000 year schooling come poor working class background evening ben introduce unorthodox math professor micky rosa small secretive club student jill choi kianna fisher train professor rosa skill card counting blackjack gambling casino card game professor harvard university cohabitant college girlfriend study dormitory friendship blackjack las vegas Drama Crime,/efG8Po57alqSlhqHU1lXJ3duG6t.jpg
21 Jump Street,2012-03-14,high school schmidt dork jenko popular jock graduation join police force end partner ride bicycle city park young look like high school student assign undercover unit infiltrate drug ring supply high school student synthetic drug drug dealer male friendship investigation high school parody crude humor undercover cop buddy cop buddy comedy duringcreditsstinger base tv series Action Comedy Crime,/8v3Sqv9UcIUC4ebmpKWROqPBINZ.jpg
22 Jump Street,2014-06-05,make way high school twice big change store officer schmidt jenko deep undercover local college jenko meet kindred spirit football team schmidt infiltrate bohemian art major scene begin question partnership crack case figure mature relationship overgrown adolescent grow freshman real man college good thing happen high school undercover cop buddy cop buddy comedy aftercreditsstinger duringcreditsstinger Crime Comedy Action,/850chzYHYbT3IISl6Q7dbBuFP2B.jpg
23 Paces to Baker Street,1956-05-18,philip hannon blind playwright live london overhear conversation   lead desperate race find kidnapped child get help police butler ex fiancée attempt track crook london england kidnapping playwright blindness Crime Mystery Thriller,/bdLrgwczovHo4JQfPVoYoJgDtY1.jpg
24 Hour Party People,2002-02-13,manchester 1976 tony wilson ambitious frustrated local tv news reporter look way mark witness life change concert band know sex pistols persuade station televise performance soon manchester punk group clamor manage ride wave musical revolution wilson friend create legendary factory records label hacienda club 1970s nightclub musical northern england club celebration manchester Comedy Drama Music,/8f50NQ1wz6hdxfCISCPV8XQ6DII.jpg
28 Days,2000-04-06,get car accident drunk day sister wedding gwen cummings give choice prison rehab center choose rehab extremely resistant take treatment program offer refuse admit alcohol addiction drug addiction alcoholism car crash drug rehabilitation wedding withdrawal sobriety woman director Comedy Drama,/8SOJsSg7cOLyqADsZxP3ZVKo03S.jpg
29th Street,1991-11-01,win $ 6.2 million 1976 new york state lottery arrest throw rock church tell story police station christmas Comedy,/4bFgeLjJ97DSzDqh0H4qDKniip8.jpg
2:22,2017-06-29,man life derail ominous pattern event repeat exactly manner day end precisely 2:22 p.m. new york city artist murder premonition grand central station air traffic controller Drama Thriller Romance,/rj0h3RnKX5CB8X5UE1PfpMSV4MP.jpg
3 Bad Men,1926-08-28,outlaws come aid young girl father kill silent film direct john ford gold immigrant dakota sioux outlaw Romance Western,/4x1vv1O0QMgE2sSbtSbrV68Zscr.jpg
3 Days to Kill,2014-02-14,dangerous international spy determined high stake life finally build close relationship estranged wife daughter complete mission mean juggle tough assignment hunt world ruthless terrorist look teenage daughter time year wife town cia kill wife retirement daughter family secret service illegal drug husband Action Drama Thriller,/sliYPOgeUuf62qktgXbfMBmYvj1.jpg
3 Godfathers,1948-12-31,outlaw run discover die woman baby swear bring infant safety desert risk life chess baby marshal adoption promise outlaw birth desert hymn die eat posse Western,/dsVrYIpK2Rcgsr5QrfjBQWee5JE.jpg
3 Kids and a Queen,1935-10-21,eccentric wealthy spinster queenie baxter erroneously presume kidnap subsequently pretend kidnap   order allow reward $ 50000 benefit impecunious family head tony orsatti son blackie doc flash kidnapping b movie eccentric millionaire Adventure Comedy Crime,/kmeDtqCLVsukO7yIj9R2CbP4neS.jpg
3 Men and a Little Lady,1990-11-21,sylvia work increasingly take away man help bring mary daughter decide england mary man heartbroken lose important female life london england marriage proposal daughter Family Comedy,/q0xAFCyGoOYHZyFD3uxhZL10Xe6.jpg
3 Ninjas Kick Back,1994-05-06,championship baseball match brother hear grandfather japan trouble head help concede match arrive japan use power defend ancient enemy return exact revenge underdog sible relationship hero friendship treasure hunt friend revenge rivalry escapade young hero vigilantism heroic mission buddy master villain master warrior contest competition Family Adventure Action,/kXuh3c0DyvqSGo0DBatoemBwEtz.jpg
3 Ninjas: High Noon at Mega Mountain,1998-04-10,young boy rocky colt tum tum neighbor girl computer whiz amanda visit mega mountain amusement park invade army ninjas lead evil medusa want park hold owner ransom kid retire tv star dave dragon farewell appearance park time ninjas appear break medusa vicious plan sible relationship hostage hero rivalry family escapade save day young hero eccentric family vigilantism heroic mission buddy dare rescue master villain Family Action Comedy,/hro6QSAQ9s8slnDtB7SzhjcmTet.jpg
3 Ring Circus,1954-12-22,jerry pete friend money look job finally find employment work circus jerry different dream want clown circus clown Comedy,/zDsCV3BpZnfkQADdFlWCuKPQpSn.jpg
3 Women,1977-04-10,co worker vain woman awkward teenager share increasingly bizarre relationship roommate california avant garde desert expectant mother birth shoot range Drama Mystery,/uL5Yg8MEgHGXymTaJBYXn9g0xsH.jpg
3 from Hell,2019-09-16,barely survive furious shootout police baby firefly otis driftwood captain spaulding bar pure evil contain team otis half brother winslow demented firefly clan escape unleash new wave murder madness mayhem prisoner clown sadism sequel murder death firefly reject Drama Horror Crime,/wWWjBJbORsB9xt17eXmYEYhinux.jpg
3-Headed Shark Attack,2015-07-20,world great kill machine time deadly mutate shark threaten cruise ship shark eat way end ship passenger fight deadly predator find monster mutation shark attack machete shark mutant animal head creature booze cruise Science Fiction Action Horror,/47lLJNQJQaooewVhXEHxWwbSztc.jpg
30 Days of Night,2007-10-17,story isolated alaskan town plunge darkness month year sun sink horizon ray light fade town attack bloodthirsty gang vampire bend uninterrupted orgy destruction small town husband wife sheriff team stand survivor certain destruction sunrise winter vampire marriage crisis alaska creature base graphic novel blizzard blood lust polar night Horror Thriller,/goHX48AYgfsKhNYnbgC92YF9URL.jpg
"30,000 Leagues Under The Sea",2007-09-09,captain nemo go deep insanity mesmerize fantasy tale helm fearsome wildly advanced vessel nautical madman endeavor turn world wave upside submarine squid robot captain nemo Action Adventure Science Fiction,/zxcM9XbumJHpYAstef4BrUcD6zR.jpg
300,2007-03-07,base frank miller graphic novel 300 loosely base 480 b.c. battle thermopylae king sparta lead army advance persians battle say inspire greece band persians help usher world democracy evisceration javelin shield army epic ancient world base graphic novel ancient greece s.a.t warrior sparta greece 5th century bc Action Adventure War,/9W49fy5G7v9Ed3CXtvMi41YqZtt.jpg
3000 Miles to Graceland,2001-02-23,ingenious plan rob riviera casino count room elvis impersonator convention thomas murphy decide money shoot partner include recently free ex con michael zane $ 3.2 million stake marshals service closing michael track murphy prison casino robbery submachine gun mass murder kidnapping betrayal dark comedy trial las vegas disguise death duringcreditsstinger Action Adventure Comedy,/nJgr5sGoXnsgZ0EVt80i6X9dQiA.jpg
300: Rise of an Empire,2014-03-05,greek general themistokle attempt unite greece lead charge change course war themistokle face massive invade persian force lead mortal turn god xerxes artemesia vengeful commander persian navy base graphic novel ancient greece duringcreditsstinger sea battle hand hand combat naval warfare sparta greece 5th century bc Action Drama War,/dfmIok6B1sUW642zyiCtbnBRCoW.jpg
36 Hours,1964-11-26,german kidnap american major try convince world war ii detail allied invasion europe europe world war ii interrogation mind game Drama Thriller War,/JrkndJe6vmkrMorF7l3TjuTvB9.jpg
360,2012-07-25,inspire arthur schnitzler classic la ronde screenwriter peter morgan director fernando meirelles 360 combine modern dynamic roundelay story link character different city country vivid suspenseful deeply move tale love 21st century start vienna film beautifully weave paris london bratislava rio denver phoenix single mesmerizing narrative infidelity Drama Romance,/w2JD7hy0kZvEAX81yHHpHyjldGK.jpg
3:10 to Yuma,1957-08-07,dan evans small time farmer hire escort ben wade dangerous outlaw yuma evans wade wait 3:10 train yuma wade gang race free hotel small town arizona hunger ranch outlaw shootout black white train bandit stagecoach base short story drought 19th century Western Drama Thriller,/eQMkYcS2o8xuGpkvMHFeKO9URX3.jpg
4 Devils,1928-10-03,circus provide backdrop melodrama chronicle life child raise big film historian collector william k. everson state survive print lose actress mary duncan borrow fox studios december 1974 issue films review explain mary duncan film star want group friend florida star aware dangerous nitrate print assume fox throw copy ocean mistake characterize everson monumental blunder rank balaclava sarajevo fall babylon history black moment trapeze lose film Drama Action,/7G71ryJRJbu8bC6oixxzC87BMz0.jpg
