Season,Team,League,Division,Payroll,Win_Percent
2018,Pittsburgh Pirates,National,Central,"87,880,000",0.509
2018,San Diego Padres,National,West,"96,130,000",0.407
2018,San Francisco Giants,National,West,"208,510,000",0.451
2018,Seattle Mariners,American,West,"162,480,000",0.549
2018,St. Louis Cardinals,National,Central,"161,010,000",0.543
2018,Tampa Bay Rays,American,East,"78,730,000",0.556
2018,Texas Rangers,American,West,"144,000,000",0.414
2018,Toronto Blue Jays,American,East,"162,316,000",0.451
2018,Washington Nationals,National,East,"181,590,000",0.506
2017,Arizona Diamondbacks,National,West,"93,258,000",0.574
2017,Atlanta Braves,National,East,"112,438,000",0.444
2017,Baltimore Orioles,American,East,"163,677,000",0.463
2017,Boston Red Sox,American,East,"199,805,000",0.574
2017,Chicago Cubs,National,Central,"172,190,000",0.568
2017,Chicago White Sox,American,Central,"99,120,000",0.414
2017,Cincinnati Reds,National,Central,"93,769,000",0.42
2017,Cleveland Guardians,American,Central,"124,861,000",0.63
2017,Colorado Rockies,National,West,"130,964,000",0.537
2017,Detroit Tigers,American,Central,"199,751,000",0.395
2017,Houston Astros,American,West,"124,344,000",0.623
2017,Kansas City Royals,American,Central,"140,925,000",0.494
2017,Los Angeles Angels,American,West,"160,375,000",0.494
2017,Los Angeles Dodgers,National,West,"242,066,000",0.642
2017,Miami Marlins,National,East,"111,881,000",0.475
2017,Milwaukee Brewers,National,Central,"63,061,000",0.531
2017,Minnesota Twins,American,Central,"108,078,000",0.525
2017,New York Mets,National,East,"155,187,000",0.432
2017,New York Yankees,American,East,"201,540,000",0.562
2017,Oakland Athletics,American,West,"81,738,000",0.463
2017,Philadelphia Phillies,National,East,"111,378,000",0.407
2017,Pittsburgh Pirates,National,Central,"100,576,000",0.463
2017,San Diego Padres,National,West,"71,624,000",0.438
2017,San Francisco Giants,National,West,"172,355,000",0.395
2017,Seattle Mariners,American,West,"154,801,000",0.481
2017,St. Louis Cardinals,National,Central,"152,453,000",0.512
2017,Tampa Bay Rays,American,East,"69,963,000",0.494
2017,Texas Rangers,American,West,"175,909,000",0.481
2017,Toronto Blue Jays,American,East,"177,795,000",0.469
2017,Washington Nationals,National,East,"167,847,000",0.599
2016,Arizona Diamondbacks,National,West,"70,763,000",0.426
2016,Atlanta Braves,National,East,"87,623,000",0.422
2016,Baltimore Orioles,American,East,"115,588,000",0.549
2016,Boston Red Sox,American,East,"182,161,000",0.574
2016,Chicago Cubs,National,Central,"116,655,000",0.64
2016,Chicago White Sox,American,Central,"98,713,000",0.481
2016,Cincinnati Reds,National,Central,"116,732,000",0.42
2016,Cleveland Guardians,American,Central,"86,339,000",0.584
2016,Colorado Rockies,National,West,"98,261,000",0.463
2016,Detroit Tigers,American,Central,"172,282,000",0.534
2016,Houston Astros,American,West,"69,064,000",0.519
2016,Kansas City Royals,American,Central,"112,915,000",0.5
2016,Los Angeles Angels,American,West,"146,450,000",0.457
2016,Los Angeles Dodgers,National,West,"223,352,000",0.562
2016,Miami Marlins,National,East,"84,638,000",0.491
2016,Milwaukee Brewers,National,Central,"98,683,000",0.451
2016,Minnesota Twins,American,Central,"108,262,000",0.364
2016,New York Mets,National,East,"99,626,000",0.537
2016,New York Yankees,American,East,"213,473,000",0.519
2016,Oakland Athletics,American,West,"80,279,000",0.426
2016,Philadelphia Phillies,National,East,"133,048,000",0.438
2016,Pittsburgh Pirates,National,Central,"85,886,000",0.484
2016,San Diego Padres,National,West,"112,896,000",0.42
2016,San Francisco Giants,National,West,"166,496,000",0.537
2016,Seattle Mariners,American,West,"122,707,000",0.531
2016,St. Louis Cardinals,National,Central,"120,302,000",0.531
2016,Tampa Bay Rays,American,East,"73,650,000",0.42
2016,Texas Rangers,American,West,"144,307,000",0.586
2016,Toronto Blue Jays,American,East,"126,370,000",0.549
2016,Washington Nationals,National,East,"166,011,000",0.586
2015,Arizona Diamondbacks,National,West,"91,519,000",0.488
2015,Atlanta Braves,National,East,"97,579,000",0.414
2015,Baltimore Orioles,American,East,"110,146,000",0.5
2015,Boston Red Sox,American,East,"187,407,000",0.481
2015,Chicago Cubs,National,Central,"119,007,000",0.599
2015,Chicago White Sox,American,Central,"115,239,000",0.469
2015,Cincinnati Reds,National,Central,"117,197,000",0.395
2015,Cleveland Guardians,American,Central,"86,091,000",0.503
2015,Colorado Rockies,National,West,"102,006,000",0.42
2015,Detroit Tigers,American,Central,"173,814,000",0.46
2015,Houston Astros,American,West,"70,910,000",0.531
2015,Kansas City Royals,American,Central,"113,619,000",0.586
2015,Los Angeles Angels,American,West,"150,933,000",0.525
2015,Los Angeles Dodgers,National,West,"272,789,000",0.568
2015,Miami Marlins,National,East,"68,479,000",0.438
2015,Milwaukee Brewers,National,Central,"105,003,000",0.42
2015,Minnesota Twins,American,Central,"108,945,000",0.512
2015,New York Mets,National,East,"101,409,000",0.556
2015,New York Yankees,American,East,"219,282,000",0.537
2015,Oakland Athletics,American,West,"86,087,000",0.42
2015,Philadelphia Phillies,National,East,"135,828,000",0.389
2015,Pittsburgh Pirates,National,Central,"88,279,000",0.605
2015,San Diego Padres,National,West,"100,676,000",0.457
2015,San Francisco Giants,National,West,"172,672,000",0.519
2015,Seattle Mariners,American,West,"119,798,000",0.469
2015,St. Louis Cardinals,National,Central,"120,869,000",0.617
2015,Tampa Bay Rays,American,East,"76,062,000",0.494
2015,Texas Rangers,American,West,"142,141,000",0.543
2015,Toronto Blue Jays,American,East,"122,507,000",0.574
2015,Washington Nationals,National,East,"164,921,000",0.512
2014,Arizona Diamondbacks,National,West,"112,689,000",0.395
2014,Atlanta Braves,National,East,"110,897,000",0.488
2014,Baltimore Orioles,American,East,"107,407,000",0.593
2014,Boston Red Sox,American,East,"162,817,000",0.438
2014,Chicago Cubs,National,Central,"89,008,000",0.451
2014,Chicago White Sox,American,Central,"91,159,000",0.451
2014,Cincinnati Reds,National,Central,"112,391,000",0.469
2014,Cleveland Guardians,American,Central,"82,535,000",0.525
2014,Colorado Rockies,National,West,"95,832,000",0.407
2014,Detroit Tigers,American,Central,"162,229,000",0.556
2014,Houston Astros,American,West,"44,544,000",0.432
2014,Kansas City Royals,American,Central,"92,034,000",0.549
2014,Los Angeles Angels,American,West,"155,692,000",0.605
2014,Los Angeles Dodgers,National,West,"235,295,000",0.58
2014,Miami Marlins,National,East,"47,565,000",0.475
2014,Milwaukee Brewers,National,Central,"103,845,000",0.506
2014,Minnesota Twins,American,Central,"85,777,000",0.432
2014,New York Mets,National,East,"89,052,000",0.488
2014,New York Yankees,American,East,"203,813,000",0.519
2014,Oakland Athletics,American,West,"83,401,000",0.543
2014,Philadelphia Phillies,National,East,"180,053,000",0.451
2014,Pittsburgh Pirates,National,Central,"78,112,000",0.543
2014,San Diego Padres,National,West,"90,094,000",0.475
2014,San Francisco Giants,National,West,"154,186,000",0.543
2014,Seattle Mariners,American,West,"92,082,000",0.537
2014,St. Louis Cardinals,National,Central,"111,020,000",0.556
2014,Tampa Bay Rays,American,East,"77,063,000",0.475
2014,Texas Rangers,American,West,"136,036,000",0.414
2014,Toronto Blue Jays,American,East,"132,629,000",0.512
2014,Washington Nationals,National,East,"134,704,000",0.593
2013,Arizona Diamondbacks,National,West,"89,101,000",0.5
2013,Atlanta Braves,National,East,"89,778,000",0.593
2013,Baltimore Orioles,American,East,"90,993,000",0.525
2013,Boston Red Sox,American,East,"150,656,000",0.599
2013,Chicago Cubs,National,Central,"104,305,000",0.407
2013,Chicago White Sox,American,Central,"119,073,000",0.389
2013,Cincinnati Reds,National,Central,"107,491,000",0.556
2013,Cleveland Guardians,American,Central,"77,773,000",0.568
2013,Colorado Rockies,National,West,"71,924,000",0.457
2013,Detroit Tigers,American,Central,"148,415,000",0.574
2013,Houston Astros,American,West,"22,063,000",0.315
2013,Kansas City Royals,American,Central,"81,492,000",0.531
2013,Los Angeles Angels,American,West,"127,896,000",0.481
2013,Los Angeles Dodgers,National,West,"216,598,000",0.568
2013,Miami Marlins,National,East,"36,342,000",0.383
2013,Milwaukee Brewers,National,Central,"82,977,000",0.457
2013,Minnesota Twins,American,Central,"75,803,000",0.407
2013,New York Mets,National,East,"73,397,000",0.457
2013,New York Yankees,American,East,"228,835,000",0.525
2013,Oakland Athletics,American,West,"60,665,000",0.593
2013,Philadelphia Phillies,National,East,"165,386,000",0.451
2013,Pittsburgh Pirates,National,Central,"79,555,000",0.58
2013,San Diego Padres,National,West,"67,144,000",0.469
2013,San Francisco Giants,National,West,"140,264,000",0.469
2013,Seattle Mariners,American,West,"72,031,000",0.438
2013,St. Louis Cardinals,National,Central,"115,222,000",0.599
2013,Tampa Bay Rays,American,East,"57,895,000",0.564
2013,Texas Rangers,American,West,"114,090,000",0.558
2013,Toronto Blue Jays,American,East,"117,528,000",0.457
2013,Washington Nationals,National,East,"114,057,000",0.531
